label,feature-01,feature-02,feature-03,feature-04,feature-05,feature-06,feature-07,feature-08,feature-09,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,feature-22,feature-23,feature-24,feature-25,feature-26,feature-27,feature-28
0.0,2.519119978,-0.541580796,0.559716761,2.156991959,0.184379891,2.209657669,1.302127004,-1.33432591,2.173076153,0.805782378,0.729561865,1.742065072,0.0,1.516314626,0.174940646,0.212923899,2.548224449,0.456631809,0.551701128,-0.908103049,0.0,0.54181987,0.969250739,1.069618583,3.793148279,2.619262457,2.445271492,1.791462779
0.0,0.554151535,1.000211835,-1.705887437,2.583786011,-1.059854507,1.378413796,1.529879808,0.737480104,0.0,1.724626064,0.668365359,-0.638815045,2.214872122,2.134325981,0.857627153,1.097726703,2.548224449,0.77452153,1.097200394,0.12968798,0.0,0.842338383,0.953395486,0.994819105,1.072057366,2.055241823,1.316124558,1.291157365
0.0,0.94231385,-0.520153463,-0.381985515,0.586728275,1.638965845,0.870634973,2.794403315,-1.428015351,0.0,1.078237534,0.405123085,-0.483460486,2.214872122,1.12643528,-0.47588715,0.499167323,2.548224449,1.29638648,0.352656364,1.422078252,0.0,0.655696511,1.056496263,0.997942507,0.719817519,1.071565628,0.81954211,0.761916041
0.0,1.281978726,1.488170147,1.672213674,1.183047891,1.276985645,0.899582863,0.568366528,0.240205392,2.173076153,1.024854541,-0.321464419,0.003228466,0.0,1.324184895,1.232649565,-1.122429371,2.548224449,0.969247282,-0.167858168,-0.793791175,0.0,0.858393848,0.908890665,0.975224197,0.89672637,1.391543627,0.992492676,1.054214478
0.0,2.417366982,1.041118503,1.076847553,1.706903815,0.804415047,1.775989056,-0.862515688,-1.246734619,2.173076153,2.86757803,1.226905227,-0.125039861,0.0,0.907259822,0.305106193,1.348467112,2.548224449,1.517400146,0.41261965,-0.731640995,0.0,1.771476865,1.680398941,1.005615115,2.948608637,1.522137403,2.267478704,2.087030649
1.0,0.618387759,0.203505337,-0.322060496,1.759798169,-1.07088244,0.440722317,-0.291153044,1.241407275,0.0,0.916577518,0.8762393,0.306165546,0.0,0.901815534,-0.628808916,0.877496779,2.548224449,0.739227533,-0.088739954,-0.770484805,0.0,0.850003541,0.774023712,0.984788239,1.106114388,0.904122114,0.843997359,0.730737329
0.0,2.187141657,-0.287374943,0.893188417,0.578603983,1.039232373,1.941614985,1.474426985,-0.942382514,0.0,1.317076445,2.140967846,-1.180329084,0.0,1.885997534,-0.653385639,0.560742915,1.274112225,1.382552624,0.562527835,1.022541523,3.101961374,1.434527874,1.822422624,0.972753048,0.680202186,1.055969238,2.318483114,2.240323305
1.0,0.822076797,0.021373156,-1.260888577,0.659662783,-0.315371066,0.812006354,0.065329738,-0.794364333,2.173076153,2.160629988,0.07097055,1.469643593,0.0,1.852629423,0.046595577,-0.209332302,2.548224449,1.418576837,-0.120387241,0.637432516,0.0,0.938028336,1.126200318,0.995257556,0.673834443,0.769247651,0.892134547,0.775119901
0.0,0.53603363,0.383689523,-0.801463425,1.544087052,1.228805542,0.859825373,-0.426814526,1.136075974,1.086538076,1.101529717,2.572257757,-0.418544829,0.0,1.561098099,-0.090851977,-0.521093547,2.548224449,1.548556209,0.166936785,-1.599523425,0.0,1.022314072,0.939454734,1.218282819,0.870538175,1.459033012,0.932416379,0.796393216
0.0,1.021922827,-1.304198265,0.788319588,0.963339031,-1.475004435,0.953539491,-1.251676083,0.046728402,2.173076153,0.902853966,-0.850863039,1.677150011,0.0,0.58727771,-0.75806427,0.437036991,0.0,1.864985704,-0.577607214,-0.927524924,1.550980687,1.004297256,0.935859561,1.2269454,1.042334318,1.159929156,0.880605876,0.804892719
0.0,0.809998214,-0.599044979,-0.769836366,0.756080151,-0.628515244,1.042673349,-0.079243831,-1.703539848,0.0,1.753080368,-0.290380448,0.39382866,2.214872122,0.652433276,0.958664715,-1.393140316,0.0,0.46953243,0.437604338,0.268415987,3.101961374,0.976295769,0.779616773,0.983546555,1.178879857,0.359107912,0.991885841,0.90158844
1.0,0.578308761,1.396617174,1.566235185,0.836577177,-0.767838299,0.673129857,1.438778639,0.888824522,2.173076153,1.384434819,-1.92228806,-1.087672353,0.0,1.453090906,1.278162003,0.373797148,0.0,1.562187076,0.548369825,0.573617637,3.101961374,1.71141696,1.104724288,0.989756405,0.858120322,0.537730396,0.753127456,0.808576465
1.0,0.285128176,-1.634373665,-0.133407637,1.885518909,-0.33269003,0.768401325,0.822855592,-0.688478649,2.173076153,1.482136011,0.220562086,1.361451864,0.0,1.016496301,0.213171095,0.732710898,1.274112225,0.84462285,-0.935721219,1.04085362,0.0,1.139631033,0.839420378,0.972718656,0.908442438,1.106613874,0.983887792,0.984202266
